week,week_label,total_infra_cost_gbp,db_tier_cost_gbp,webapp_tier_cost_gbp,middleware_tier_cost_gbp,batch_etl_tier_cost_gbp,monitoring_tier_cost_gbp,dev_test_tier_cost_gbp,dr_standby_tier_cost_gbp,patch_compliance_pct,servers_patched,eol_servers_patched,p1_incidents,p2_incidents,p3_incidents,total_incidents,mttr_hours,server_uptime_pct,cr_raised,cr_approved,p1_incident_description,notes
1,Week 1,56458,30535,9311,7138,4966,2320,1233,955,0.698,10,2,0,2,4,6,3.3,99.69,2,2,,
2,Wk 2,"£57,832",32718,9227,6576,4638,2308,1331,1034,0.744,15,2,0,4,8,12,4.0,99.2,4,2,,
3,Week 3,59195,32947,9162,7387,4864,2523,1296,1016,0.708,16,1,1,3,8,12,4.1,98.06,5,4,"OMS timeout (4.2hr recovery — no DR, manual failover)",
4,W4,55308,30224,8783,7002,4625,2399,1290,985,0.69,10,1,0,4,7,11,3.6,99.26,7,3,,
5,Week 05,"£55,932",29834,9273,7364,4703,2474,1341,943,69.1%,11,2,0,4,8,12,3.7,99.61,8,6,,
6,Week 6,50801,32219,8085,7000,4856,2527,1306,966,72.0%,11,2,0,1,7,8,4.5,99.13,3,2,,"AWS POC invoice delayed — £20,800 accrual not included in weekly total. NOT an optimisation."
7,Wk 7,55340,,9309,6658,4609,2286,1296,1004,72.3%,9,0,1,1,6,8,4.8,98.1,3,2,PEMIS DB corruption (3.8hr recovery — cold restart required),
8,Week 8,"£57,422",31097,9553,7038,4880,2537,1278,1039,68.3%,11,3,0,3,5,8,3.5,99.49,3,3,,
9,Week 9,55993,30676,8596,6984,5001,2480,1237,1019,56.8%,14,1,0,3,6,TBC,5.6,99.35,6,3,,Patch team diverted to cloud project onboarding — compliance rate expected to drop.
10,W10,55190,30327,8945,6596,4708,2291,1314,1009,50.0%,12,3,1,3,4,8,5.1,98.59,4,1,RRG submission failure (2.1hr — FCA reporting window missed),
11,Week 11,"£56,920",31550,9602,6689,4510,2373,1222,974,54.8%,22,3,0,3,3,6,4.8,99.17,5,5,,
12,Week 12,57009,31758,9036,6858,4649,2546,1205,957,57.1%,22,1,2,2,3,7,6.5,98.48,2,2,CRP + OMS simultaneous failure (6.7hr — worst incident in 3 years),Two simultaneous P1 incidents — root cause: shared DB server with no DR. Escalated to CTO.
3,Week 3 (revised),60035,32947,9162,7387,4864,2523,1296,1016,0.708,16,1,1,3,8,12,4.1,98.06,5,4,OMS timeout — revised MTTR 4.4hr (initial estimate was 4.2hr),REVISED ENTRY — replaces original Week 3 row. Use this one.
