app_id,application_name,business_line,criticality,dr_status,migration_strategy,server_count,dependencies,dependency_count,migration_complexity,annual_licence_cost_gbp,tech_stack,data_classification,business_owner,migration_wave,last_review_date,notes
APP-001,PEMIS,All,P1 — Critical,NO DR,Replatform → EKS,8,APP-002|APP-005|APP-018|APP-020,4,9,"£480,000",Java 8 / Oracle 12c / IBM MQ,RESTRICTED,Rachel Thornton ,4,2024-01-15,Core portfolio management system. 4 major upstream feeds. Oracle schema 1.8TB. Java 8 EOL.
APP-002,Order Management System (OMS),Equities / Fixed Income,P1 — Critical,None,Replatform → EKS,6,"APP-001,APP-006,APP-010,APP-018",4,9/10,320000,C++ / SQL Server 2016 / FIX Protocol,Restricted,Rachel Thornton,4,19/01/2024,"Real-time order routing. FIX protocol integration. Sub-millisecond latency requirement. C++ codebase, no unit tests."
APP-003,Client Reporting Platform (CRP),All,P1 — Critical,none,Rehost → EC2,4,APP-001;APP-007;APP-014,3,Medium-High,95000,.NET Framework 4.7 / SQL Server 2016 / SSRS,restricted,David Osei,2,30-01-2024,"Generates 2,400 client reports monthly. SSRS dependency. SQL Server 2016 EOL migration needed."
APP-004,Regulatory Reporting Gateway (RRG),Compliance,P1 — Critical,N/A,Rehost → EC2,3,APP-001|APP-003|APP-012,3,7,140000,.NET Framework 4.5 / SQL Server 2016,RESTRICTED,James Liu,2,2024-02-10,FCA/MiFID II submission gateway. .NET 4.5 EOL. Must not fail — FCA fine risk.
APP-005,Risk Calculation Engine (RCE),Multi-Asset,P1 — Critical,Cold Standby,Replatform → EKS,5,"APP-001,APP-008,APP-009,APP-018",4,8,260000,Python 3.8 / PostgreSQL 10 / Redis,RESTRICTED,Rachel Thornton,4,07/02/2024,Monte Carlo simulation engine. 4hr batch window. 0.9TB PostgreSQL. Redis session cache.
APP-006,SWIFT Connectivity,Custody,P1 — Critical,Active/Passive,Retain,2,APP-002;APP-020,2,3/10,"£180,000",SWIFT Alliance Gateway / IBM MQ,Restricted,David Osei,N/A (Retain),15-02-2024,SWIFT-managed infrastructure. Cannot be migrated without SWIFT re-certification. Retain on-prem.
APP-007,FundSettle Integration,Custody,P2 — High,active-passive,Retain,1,APP-020|APP-006,2,Low,85000,MQ / REST API / FundSettle proprietary,restricted,David Osei,N/A (Retain),2024-02-29,Vendor-managed. Euroclear FundSettle. Integration point only — retain.
APP-008,Bloomberg Data Feed,All,P2 — High,VENDOR,Retain,1,"APP-001,APP-005,APP-018",3,1,420000,Bloomberg B-PIPE / proprietary,CONFIDENTIAL,Amara Diallo ,N/A (Retain),29/02/2024,Bloomberg-managed. B-PIPE feed. Cannot move without Bloomberg re-onboarding. Retain.
APP-009,Aladdin Integration (BlackRock),Multi-Asset,P2 — High,Vendor DR,Retain,1,APP-001;APP-005,2,2,,REST API / BlackRock proprietary,CONFIDENTIAL,Rachel Thornton,N/A (Retain),11-03-2024,BlackRock-managed SaaS. API integration only. No migration needed — SaaS.
APP-010,Trade Confirmation System,Equities / Fixed Income,P2 — High,N/A,Replatform → EKS,3,APP-002|APP-006|APP-012,3,7/10,62000,Java 11 / PostgreSQL 10 / Kafka,Restricted,Rachel Thornton,4,2024-03-22,Kafka-based event streaming. PostgreSQL 10 needs upgrade. Microservice candidate.
APP-011,Client Portal,All,P2 — High,No DR,Refactor → CloudFront + S3 + EKS,3,"APP-001,APP-003,APP-014",3,High,"£45,000",React / Node.js / PostgreSQL 10,restricted,Rachel Thornton,3,20/03/2024,"Public-facing web portal. 8,200 active client users. CloudFront + S3 for static assets. Auth0 SSO."
